film_id,film_ru,film_en,year,scope_group,nomination_codes,comments_source,rezka_page_url,page_url_status,rezka_search_query,rezka_search_url,parse_ready
film_001,Франкенштейн,Frankenstein,2025,main_feature,best_picture;best_supporting_actor;best_adapted_screenplay;production_design;cinematography;score;makeup_hair;sound,hdrezka,https://rezka.fi/films/horror/80582-frankenshteyn-2025.html,search_only,Франкенштейн 2025,https://rezka.pub/search/?do=search&subaction=search&q=%D0%A4%D1%80%D0%B0%D0%BD%D0%BA%D0%B5%D0%BD%D1%88%D1%82%D0%B5%D0%B9%D0%BD+2025,0
film_002,Битва за битвой,One Battle After Another,2025,main_feature,best_picture;best_actor;best_director;best_supporting_actor;best_supporting_actress;best_adapted_screenplay;production_design;cinematography;casting;editing;score;sound,hdrezka,https://rezka.pub/films/drama/78875-bitva-za-bitvoy-2025-latest.html,found,Битва за битвой 2025,https://rezka.pub/search/?do=search&subaction=search&q=%D0%91%D0%B8%D1%82%D0%B2%D0%B0+%D0%B7%D0%B0+%D0%B1%D0%B8%D1%82%D0%B2%D0%BE%D0%B9+2025,1
film_003,Марти Великолепный,Marty Supreme,2025,main_feature,best_picture;best_actor;best_director;best_original_screenplay;production_design;cinematography;casting;costume_design;editing,hdrezka,https://rezka.pub/films/drama/81513-marti-velikolepnyy-2025-latest.html,found,Марти Великолепный 2025,https://rezka.pub/search/?do=search&subaction=search&q=%D0%9C%D0%B0%D1%80%D1%82%D0%B8+%D0%92%D0%B5%D0%BB%D0%B8%D0%BA%D0%BE%D0%BB%D0%B5%D0%BF%D0%BD%D1%8B%D0%B9+2025,1
film_004,Секретный агент,O Agente Secreto,2025,main_feature,best_picture;best_actor;casting;international_feature,hdrezka,https://rezka.fi/films/drama/85993-sekretnyy-agent-2025.html,search_only,Секретный агент 2025,https://rezka.pub/search/?do=search&subaction=search&q=%D0%A1%D0%B5%D0%BA%D1%80%D0%B5%D1%82%D0%BD%D1%8B%D0%B9+%D0%B0%D0%B3%D0%B5%D0%BD%D1%82+2025,0
film_005,F1,F1: The Movie,2025,main_feature,best_picture;visual_effects;editing;sound,hdrezka,https://rezka.pub/films/drama/74844-formula-1-2025-latest.html,found,F1 2025,https://rezka.pub/search/?do=search&subaction=search&q=F1+2025,1
film_006,Грешники,Sinners,2025,main_feature,best_picture;best_actor;best_director;best_supporting_actress;best_original_screenplay;production_design;casting;visual_effects;costume_design;editing;score;makeup_hair;sound,hdrezka,https://rezka.fi/films/drama/76368-greshniki-2025-latest.html,search_only,Грешники 2025,https://rezka.pub/search/?do=search&subaction=search&q=%D0%93%D1%80%D0%B5%D1%88%D0%BD%D0%B8%D0%BA%D0%B8+2025,0
film_007,Сентиментальная ценность,Affeksjonsverdi,2025,main_feature,best_picture;best_actress;best_director;best_supporting_actor;best_supporting_actress;best_original_screenplay;international_feature;editing,hdrezka,https://rezka.fi/films/drama/81786-sentimentalnaya-cennost-2025.html,search_only,Сентиментальная ценность 2025,https://rezka.pub/search/?do=search&subaction=search&q=%D0%A1%D0%B5%D0%BD%D1%82%D0%B8%D0%BC%D0%B5%D0%BD%D1%82%D0%B0%D0%BB%D1%8C%D0%BD%D0%B0%D1%8F+%D1%86%D0%B5%D0%BD%D0%BD%D0%BE%D1%81%D1%82%D1%8C+2025,0
film_008,Бугония,Bugonia,2025,main_feature,best_picture;best_actress;best_adapted_screenplay;score,hdrezka,https://rezka.pub/films/thriller/80524-bugoniya-2025-latest.html,found,Бугония 2025,https://rezka.pub/search/?do=search&subaction=search&q=%D0%91%D1%83%D0%B3%D0%BE%D0%BD%D0%B8%D1%8F+2025,1
film_009,"Хамнет: История, вдохновившая «Гамлета»",Hamnet,2025,main_feature,best_picture;best_actress;best_director;best_adapted_screenplay;production_design;casting;costume_design;score,hdrezka,https://rezka.fi/films/drama/84252-hamnet-istoriya-vdohnovivshaya-gamleta-2025.html,search_only,"Хамнет: История, вдохновившая «Гамлета» 2025",https://rezka.pub/search/?do=search&subaction=search&q=%D0%A5%D0%B0%D0%BC%D0%BD%D0%B5%D1%82%3A+%D0%98%D1%81%D1%82%D0%BE%D1%80%D0%B8%D1%8F%2C+%D0%B2%D0%B4%D0%BE%D1%85%D0%BD%D0%BE%D0%B2%D0%B8%D0%B2%D1%88%D0%B0%D1%8F+%C2%AB%D0%93%D0%B0%D0%BC%D0%BB%D0%B5%D1%82%D0%B0%C2%BB+2025,0
film_010,Сны поездов,Train Dreams,2025,main_feature,best_picture;best_adapted_screenplay;cinematography;song,hdrezka,https://rezka.fi/films/drama/83869-sny-poezdov-2025.html,search_only,Сны поездов 2025,https://rezka.pub/search/?do=search&subaction=search&q=%D0%A1%D0%BD%D1%8B+%D0%BF%D0%BE%D0%B5%D0%B7%D0%B4%D0%BE%D0%B2+2025,0
